"post_id","title"
"5501","Директор по бизнес-информации"
"5502","Директор"
"5503","Системный администратор"
"5504","Системный аналитик"
"5505","Менеджер по продажам в ИТ"
"5506","Администратор баз данных"
"5507","Разработчик"
"5508","Специалист по мультимедийным технологиям"
"5509","Архитектор информационных систем"
"5510","Консультант в ИТ"
"5511","Менеджер по управлению ИТ-ресурсами"
"5512","Менеджер по информационной безопасности бизнеса"
"5513","Специалист по информационной безопасности"
"5514","ИТ-тренер"
"5515","Специалист по телекоммуникационным технологиям"
"5516","Менеджер ИТ-проектов"
"5517","Менеджер по качеству в ИТ"
"5518","Специалист сервисной службы в ИТ"
"5519","Менеджер сервисной службы в ИТ"
"5520","Системный архитектор"
"5521","Технический ИТ-специалист"
"5522","Специалист по тестированию"
"5523","Бизнес-аналитик"
